field,type,format,full_path,is_array
appBuildNumber,keyword,,appBuildNumber,false
bonusBalance,double,,bonusBalance,false
browserName,keyword,,browserName,false
channelId,integer,,channelId,false
countryId,integer,,countryId,false
externalParentId,keyword,,externalParentId,false
externalUserId,keyword,,externalUserId,false
internalAccount,boolean,,internalAccount,false
ip,keyword,,ip,false
ipCity,keyword,,ipCity,false
isWeb,integer,,isWeb,false
loginDate,date,yyyy-MM-dd'T'HH:mm:ss.SSS||yyyy-MM-dd'T'HH:mm:ss.SSSZ,loginDate,false
loginId,integer,,loginId,false
loginTypeId,integer,,loginTypeId,false
logoutCode,integer,,logoutCode,false
logoutDate,date,yyyy-MM-dd'T'HH:mm:ss.SSS||yyyy-MM-dd'T'HH:mm:ss.SSSZ,logoutDate,false
nativeApp,boolean,,nativeApp,false
os,keyword,,os,false
parentId,integer,,parentId,false
realBalance,double,,realBalance,false
regenerate,boolean,,regenerate,false
skin,keyword,,skin,false
skinGroup,keyword,,skinGroup,false
skinGroupId,keyword,,skinGroupId,false
skinId,keyword,,skinId,false
skinOrigin,keyword,,skinOrigin,false
skinOriginId,keyword,,skinOriginId,false
skinOriginName,text,,skinOriginName,false
userId,integer,,userId,false
