filed_orcal,filed_es,funciton_lambda
userId,userId,
externalUserId,externalUserId,convert_int_to_string
loginId,loginId,
parentId,parentId,
externalParentId,externalParentId,convert_int_to_string
skinId,skinId,
skin,skin,
skinGroupId,skinGroupId,
skinOriginId,skinOriginId,
loginDate,loginDate,convert_time_to_string
logoutDate,logoutDate,convert_time_to_string
ip,ip,
logoutCode,logoutCode,
countryId,countryId,
realBalance,realBalance,
bonusBalance,bonusBalance,
loginTypeId,loginTypeId,convert_num_to_bool
channelId,channelId,
internalAccount,internalAccount,convert_num_to_bool
isWeb,isWeb,
nativeApp,nativeApp,convert_num_to_bool
os,os,
browserName,browserName,
appBuildNumber,appBuildNumber,
ipCity,ipCity,
skinGroup,skinGroup,
skinOrigin,skinOrigin,
