filed_orcal,filed_es,funciton_lambda
FREEBONUSID+SPECIALBONUSTYPEID,id,compose_playerbonus_freespins_id
FREEBONUSID,userBonusId,convert_int_to_string
USERID,userId,convert_int_to_string
EXTERNALUSERID,externalUserId,
SKINID,skinId,convert_int_to_string
SKIN_NAME,skin,
SKIN_GROUP_ID,skinGroup,lookup_skin_group
SKIN_ORIGIN_ID,skinOrigin,lookup_skin_origin
USER_PARENT_ID,parentId,convert_int_or_zero
EXTERNAL_PARENT_USERID,externalParentId,convert_int_or_neg_one
SKIN_ORIGIN_ID,skinOriginId,convert_int_to_string
SKIN_GROUP_ID,skinGroupId,convert_int_or_zero
CURRENCY_ISO,currency,
INTERNAL_ACCOUNT,internalAccount,convert_truthy_bool
FREESPINS_STATUSID,statusId,convert_int_to_string
FREESPINS_STATUSID,status,lookup_bonus_status_freespins
SPECIALBONUSTYPEID,bonusType,compose_bonus_type_freespins
CREATEDDATE,createdDate,convert_time_to_string
CREATEDDATE+EXPIERY_DAYS,expirationDate,compose_expiration_from_days
EXPIERY_DAYS,expirationDays,convert_int_to_string
BONUSNAME,bonusName,
FREESPINS,freeSpinAmount,
FREESPINS_LEFT,freeSpinsLeft,convert_to_int_strict
SPECIALBONUSTYPEID+FREESPINS_LEFT,chipCountLeft,compose_chip_count_left_freespins
DENOMINATION+LINES+COINS+MULTIPLIER,worth,compose_worth_freespins_wheelspin
AMOUNT_WON,amountWon,
SESSIONID,sessionId,convert_int_to_string
FSPROMOCODE,promoCode,
MAXWIN,maxWin,convert_to_int_strict
MENUITEMIDS,menuItemsIds,parse_menu_items_ids
TRIGGERING_TRANSACTIONID,triggeringTransactionId,
TRIGGERING_CAUSE,triggeringCause,
,activeDays,constant_zero_int
,amount,constant_zero_float
,amountLeft,constant_zero_float
,points,constant_zero_int
,prizeWon,constant_zero_float
,twisterPrizeWon,constant_false_bool
