field,type,format,full_path,is_array
activeDays,integer,,activeDays,false
amount,double,,amount,false
amountLeft,double,,amountLeft,false
amountWon,float,,amountWon,false
bonusName,keyword,,bonusName,false
bonusType,keyword,,bonusType,false
chipCountLeft,long,,chipCountLeft,false
createdDate,date,yyyy-MM-dd'T'HH:mm:ss.SSS,createdDate,false
currency,text,,currency,false
description,keyword,,description,false
expirationDate,date,yyyy-MM-dd'T'HH:mm:ss.SSS,expirationDate,false
expirationDays,integer,,expirationDays,false
externalParentId,long,,externalParentId,false
externalUserId,keyword,,externalUserId,false
freeSpinAmount,double,,freeSpinAmount,false
freeSpinsLeft,long,,freeSpinsLeft,false
id,keyword,,id,false
index,text,,index,false
internalAccount,boolean,,internalAccount,false
maxWin,keyword,,maxWin,false
menuItems,keyword,,menuItems,false
menuItemsIds,keyword,,menuItemsIds,true
parentId,keyword,,parentId,false
points,integer,,points,false
prizeWon,double,,prizeWon,false
promoCode,keyword,,promoCode,false
sessionId,long,,sessionId,false
skin,keyword,,skin,false
skinGroup,keyword,,skinGroup,false
skinGroupId,integer,,skinGroupId,false
skinId,integer,,skinId,false
skinOrigin,keyword,,skinOrigin,false
skinOriginId,integer,,skinOriginId,false
status,keyword,,status,false
statusId,integer,,statusId,false
triggeringCause,keyword,,triggeringCause,false
triggeringTransactionId,integer,,triggeringTransactionId,false
twisterPrizeWon,boolean,,twisterPrizeWon,false
type,text,,type,false
updateDate,date,,updateDate,false
userBonusId,long,,userBonusId,false
userId,integer,,userId,false
worth,double,,worth,false
