filed_orcal,filed_es,funciton_lambda
USERBONUSID,id,compose_playerbonus_redeem_id
USERBONUSID,userBonusId,convert_int_to_string
USERID,userId,convert_int_to_string
EXTERNALUSERID,externalUserId,
SKINID,skinId,convert_int_to_string
SKIN_NAME,skin,
SKIN_GROUP_ID,skinGroup,lookup_skin_group
SKIN_ORIGIN_ID,skinOrigin,lookup_skin_origin
USER_PARENT_ID,parentId,convert_int_or_zero
EXTERNAL_PARENT_USERID,externalParentId,convert_int_or_neg_one
SKIN_ORIGIN_ID,skinOriginId,convert_int_to_string
SKIN_GROUP_ID,skinGroupId,convert_int_or_zero
CURRENCY_ISO,currency,
INTERNAL_ACCOUNT,internalAccount,convert_truthy_bool
STATUSID,statusId,convert_int_to_string
STATUSID,status,lookup_bonus_status_redeem
,bonusType,constant_bonus_type_redeem
CREATEDDATE,createdDate,convert_time_to_string
CREATEDDATE+EXPIERY_DAYS,expirationDate,compose_expiration_from_days
,expirationDays,constant_zero_int
BONUSNAME,bonusName,
ACTIVEDAYS,activeDays,convert_int_or_zero
AMOUNT,amount,
AMOUNT,worth,
AMOUNTLEFT,amountLeft,
REDEEMPOINTS,points,convert_int_to_string
PROMOCODE,promoCode,
DESCRIPTION,description,
TRIGGERING_TRANSACTIONID,triggeringTransactionId,
TRIGGERING_CAUSE,triggeringCause,
,freeSpinAmount,constant_zero_float
,freeSpinsLeft,constant_zero_int
,amountWon,constant_zero_float
,prizeWon,constant_zero_float
,maxWin,constant_zero_int
,twisterPrizeWon,constant_false_bool
