filed_orcal,filed_es,funciton_lambda
BONUSWHEELSPINID,id,compose_playerbonus_wheelspin_id
BONUSWHEELSPINID,userBonusId,convert_int_to_string
USERID,userId,convert_int_to_string
EXTERNALUSERID,externalUserId,
SKINID,skinId,convert_int_to_string
SKIN_NAME,skin,
SKIN_GROUP_ID,skinGroup,lookup_skin_group
SKIN_ORIGIN_ID,skinOrigin,lookup_skin_origin
USER_PARENT_ID,parentId,convert_int_or_zero
EXTERNAL_PARENT_USERID,externalParentId,convert_int_or_neg_one
SKIN_ORIGIN_ID,skinOriginId,convert_int_to_string
SKIN_GROUP_ID,skinGroupId,convert_int_or_zero
CURRENCY_ISO,currency,
INTERNAL_ACCOUNT,internalAccount,convert_truthy_bool
WHEELSPINSTATUSID,statusId,convert_int_to_string
WHEELSPINSTATUSID,status,lookup_bonus_status_wheelspin
,bonusType,constant_bonus_type_wheelspin
CREATEDDATE,createdDate,convert_time_to_string
CREATEDDATE+EXPIERY_DAYS,expirationDate,compose_expiration_from_days
EXPIERY_DAYS,expirationDays,convert_int_or_zero
BONUSNAME,bonusName,
PRIZEWON,prizeWon,
DENOMINATION+LINES+COINS+MULTIPLIER,worth,compose_worth_freespins_wheelspin
BONUSCODE,promoCode,
MENUITEMSIDS,menuItemsIds,parse_menu_items_ids
TRIGGERING_TRANSACTIONID,triggeringTransactionId,
TRIGGERING_CAUSE,triggeringCause,
,activeDays,constant_zero_int
,amount,constant_zero_float
,amountLeft,constant_zero_float
,points,constant_zero_int
,freeSpinAmount,constant_zero_float
,freeSpinsLeft,constant_zero_int
,amountWon,constant_zero_float
,maxWin,constant_zero_int
,twisterPrizeWon,constant_false_bool
